step,name,enabled,type,args,continue_on_error,description
10,Fetch NXOS logs (password auth),no,fetch,--host 10.0.0.100 --port 22 --user admin --password secret --remote /backups/logs --local-dir network_cli_parser/data/raw/ --name-contains N9K --skip-existing,no,SFTP fetch using password. Replace host/user/password/remote with your values.
11,Fetch NXOS logs (key auth),no,fetch,--host 10.0.0.100 --user admin --key ~/.ssh/id_rsa --remote /backups/logs --local-dir network_cli_parser/data/raw/ --name-contains N9K --skip-existing,no,SFTP fetch using SSH key. Preferred over password auth.
12,Fetch legacy device logs,no,fetch,--host 10.0.0.200 --user admin --remote /logs --local-dir network_cli_parser/data/raw/ --legacy --name-contains IOS --skip-existing,no,--legacy enables old KEX/cipher/MAC algorithms needed for older Cisco IOS/NX-OS SSH stacks.
13,Fetch specific date logs,no,fetch,--host 10.0.0.100 --user admin --remote /backups/logs/{date} --local-dir network_cli_parser/data/raw/ --skip-existing,no,Remote path uses {date} substitution — useful when the SFTP server stores logs in dated directories.
14,Dry-run fetch (list remote files only),no,fetch,--host 10.0.0.100 --user admin --remote /backups/logs --dry-run,yes,Shows what would be downloaded without actually transferring. Use to verify remote path and filename filter.
20,Parse a single file,no,parse,--input network_cli_parser/data/raw/{date}/N9K-CAMA-WAN-1_{date}.txt,no,Parse one specific .txt file. JSON lands in network_cli_parser/data/json/{date}/ automatically.
21,Parse all files in today's raw folder,yes,parse,--input network_cli_parser/data/raw/{date}/,no,Processes every .txt file in the dated raw directory. Most common usage.
22,Parse with platform override,no,parse,--input network_cli_parser/data/raw/{date}/ --platform cisco_nxos,no,Skip auto-detection and force the platform. Use when filename prefix detection is unreliable.
23,Parse into a custom output dir,no,parse,--input network_cli_parser/data/raw/{date}/ --output /tmp/parsed/,no,Override default output location. The dated subdirectory is still created inside the custom path.
30,Collect via SSH (online mode),no,collect,--devices network_cli_parser/devices.yaml --raw-dir network_cli_parser/data/raw/ --output-dir network_cli_parser/data/json/,no,SSH into devices defined in devices.yaml and collect + parse in one step. Requires netmiko installed.
31,Collect from existing raw dumps (offline),yes,collect,--from-dir network_cli_parser/data/raw/{date}/ --output-dir network_cli_parser/data/json/,no,Reprocess .txt dumps already on disk — equivalent to running main.py but invoked via report.py.
40,Health check — single device stdout,no,health,--snapshot network_cli_parser/data/json/{date}/N9K-CAMA-WAN-1_{date}.json --checks network_cli_parser/checks/example_health_checks.yaml,no,Run checks on one device; print JSON results to stdout. Good for quick inspection.
